-71.657,9.809,11.506,26.603,-65.697,0.000;
-99.396,-22.418,12.066,18.089,-90.209,-21.308;
-125.143,-30.274,-0.837,38.705,-80.783,-65.409;
-65.710,-18.755,13.555,36.777,-85.804,9.782;
-41.240,10.441,7.768,28.040,-91.347,48.447;
-104.881,-21.327,15.467,25.930,-100.761,-33.381;
-64.603,7.465,-3.260,28.280,-86.232,20.756;
-61.439,-15.337,-7.877,38.243,-72.909,2.439;
3.521,-22.759,11.702,24.428,-54.405,87.036;
29.998,-13.780,18.271,1.595,-46.720,127.994;
54.015,11.538,-17.481,-21.774,-52.654,163.963;
61.389,5.828,10.036,-13.651,-8.972,197.359;
28.930,17.226,10.283,18.670,-66.712,128.171;
46.637,20.944,22.184,32.815,-42.942,166.059;
25.509,-5.222,13.993,-4.385,-61.444,124.343;
-2.640,-12.742,2.171,10.087,-47.049,70.097;
-61.782,-4.169,12.328,38.961,-76.238,5.307;
13.289,-24.001,43.319,17.269,-66.111,111.861;
56.243,-26.250,-6.656,-57.490,-60.872,178.818;
15.643,-23.981,-5.636,-26.276,-30.594,125.030;
42.013,-35.116,38.188,7.495,-50.123,152.829;
26.487,-44.078,31.536,-15.222,-52.141,124.300;
-33.791,-33.368,3.794,36.575,-46.186,33.439;
-83.526,-19.346,6.671,22.760,-84.162,-9.008;
-76.577,-3.562,26.292,12.669,-88.397,-3.041;
-57.455,-40.202,20.495,29.030,-59.021,7.517;
-84.126,-48.992,26.530,22.370,-76.023,-22.575;
-105.084,6.214,-9.599,34.627,-98.226,-25.940;
-56.769,-38.168,19.370,31.423,-67.409,9.132;
-20.290,-16.754,18.028,24.575,-67.729,65.375;
-14.358,-35.380,12.328,-19.871,-33.818,80.405;
-16.782,8.040,37.349,-37.621,-97.944,39.962;
-30.213,5.052,-11.668,17.416,-62.113,50.920;
54.376,-14.555,-21.708,-40.631,-36.853,182.187;
75.271,-31.991,20.733,-38.114,-66.976,195.250;
52.846,-6.762,3.248,-1.524,-27.486,179.525;
68.598,16.606,-29.887,35.642,32.800,160.880;
43.839,-13.115,8.546,5.063,-28.721,153.050;
-11.128,-10.681,3.234,13.805,-52.155,70.943;
-29.574,27.588,-5.393,-6.225,-78.894,50.435;
6.302,26.269,-41.901,-19.284,-42.497,106.715;
62.839,20.490,4.139,-1.465,-50.015,182.157;
23.531,7.053,-8.551,-7.900,-58.639,120.473;
-23.959,-18.704,-10.165,18.872,-42.342,53.368;
60.820,-9.852,-12.812,-30.277,-56.707,180.096;
-36.484,-4.392,14.206,17.903,-81.617,49.248;
25.693,-5.878,-6.136,-8.408,-54.018,123.946;
49.812,6.992,13.727,-15.950,-90.982,141.497;
42.763,-15.588,-5.748,-31.855,-48.945,149.879;
-55.477,8.363,16.673,21.032,-100.230,32.506;
